id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
1964,PEUGEOT,"3008 Puretech","3008 Puretech 130ch S&S EAT8",,LORIENT,0,,,available,https://vpauto.fr/vehicule/68c4153344/peugeot-3008-puretech-130ch-ss-eat8
318,PEUGEOT,"308 PHEV","308 PHEV 180 e-EAT8 Active Pack",11399257,LORIENT,42810,15700.0,,unsold,https://vpauto.fr/vehicule/ef4abc7a44/peugeot-308-phev-180-e-eat8-active-pack
653,PEUGEOT,"308 PureTech","308 PureTech 130ch S&S BVM6 Allure",11404207,LORIENT,54954,,12100.0,sold,https://vpauto.fr/vehicule/d36bb9a544/peugeot-308-puretech-130ch-ss-bvm6-allure
450,PEUGEOT,"308 SW","308 SW BlueHDi 130ch S&S EAT8 Active Business",11397986,LORIENT,145313,7700.0,,unsold,https://vpauto.fr/vehicule/c7e097a744/peugeot-308-sw-bluehdi-130ch-ss-eat8-active-business
319,PEUGEOT,"308 SW","308 SW BlueHDi 130ch S&S EAT8 Allure",11401659,LORIENT,104249,,14000.0,sold,https://vpauto.fr/vehicule/5b9c01e544/peugeot-308-sw-bluehdi-130ch-ss-eat8-allure
1309,PEUGEOT,"308 SW","308 SW BlueHDi 130ch S&S BVM6 Active Business",11397167,LORIENT,139136,,6400.0,sold,https://vpauto.fr/vehicule/1288264344/peugeot-308-sw-bluehdi-130ch-ss-bvm6-active-business
725,PEUGEOT,"5008 5008","5008 BlueHDi 130ch S&S BVM6 Allure 7 places",11396444,LORIENT,90505,,16000.0,sold,https://vpauto.fr/vehicule/44f498ba44/peugeot-5008-bluehdi-130ch-ss-bvm6-allure-7-places
1017,PEUGEOT,"508 SW","508 SW Hybrid 225 e-EAT8 GT",11402196,LORIENT,144498,,,unsold,https://vpauto.fr/vehicule/8dd1cfbd44/peugeot-508-sw-hybrid-225-e-eat8-gt
1756,PEUGEOT,"BOXER TOLE","BOXER TOLE 335 L3H2 BLUEHDI 140 S&S PREMIUM",,LORIENT,116692,,,available,https://vpauto.fr/vehicule/cf72c8d44/peugeot-boxer-tole-333-l3h2-bluehdi-120-ss-asphalt
1306,PEUGEOT,"BOXER TOLE","BOXER TOLE 333 L2H2 BLUEHDI 120 S&S PREMIUM",11399244,LORIENT,127783,9900.0,8000.0,sold,https://vpauto.fr/vehicule/1087c91144/peugeot-boxer-tole-333-l2h2-bluehdi-120-ss-premium
479,PEUGEOT,"BOXER TOLE","BOXER TOLE 335 L3H2 BLUEHDI 140 S&S PREMIUM",11399255,LORIENT,112504,,7900.0,sold,https://vpauto.fr/vehicule/51ddba3f44/peugeot-boxer-tole-335-l3h2-bluehdi-140-ss-premium
488,PEUGEOT,"BOXER TOLE","BOXER TOLE 330 L1H2 BLUEHDI 130 PREMIUM PACK",11386356,LORIENT,208960,6200.0,,unsold,https://vpauto.fr/vehicule/f1fc97b144/peugeot-boxer-tole-330-l1h2-bluehdi-130-premium-pack
1360,PEUGEOT,"EXPERT FGN","EXPERT FGN TOLE STANDARD 1.5 BLUEHDI 120 S&S BVM6 ASPHALT",11409230,LORIENT,117898,,9700.0,sold,https://vpauto.fr/vehicule/fedbc28b44/peugeot-expert-fgn-tole-standard-15-bluehdi-120-ss-bvm6-asphalt
695,PEUGEOT,"EXPERT FGN","EXPERT FGN TOLE STANDARD BLUEHDI 145 S&S BVM6 PREMIUM",11399250,LORIENT,143658,10300.0,,unsold,https://vpauto.fr/vehicule/9e82c56a44/peugeot-expert-fgn-tole-standard-bluehdi-145-ss-bvm6-premium
499,PEUGEOT,"EXPERT FOURGON","EXPERT FOURGON LONG BLUEHDI 180 S&S EAT8 ASPHALT",11396251,LORIENT,137597,14700.0,,unsold,https://vpauto.fr/vehicule/46a9dde044/peugeot-expert-fourgon-long-bluehdi-180-ss-eat8-asphalt
760,PEUGEOT,"PARTNER FOURGON","PARTNER FOURGON STANDARD 1000 KG BLUEHDI 100 S&S BVM5 PREMIUM",11398794,LORIENT,102502,,9400.0,sold,https://vpauto.fr/vehicule/c79db17044/peugeot-partner-fourgon-standard-1000-kg-bluehdi-100-ss-bvm5-premium
1746,RENAULT,"Austral E-Tech","Austral E-Tech hybrid 200 Iconic",,LORIENT,0,,,available,https://vpauto.fr/vehicule/d60d4b5544/renault-clio-e-tech-hybride-145-evolution
976,RENAULT,"CAPTUR TECHNO","Captur E-Tech full hybrid 145 - 21 Techno Fast Track Donkergrijs metaal / zwart dak",11404606,LORIENT,87871,,11800.0,sold,https://vpauto.fr/vehicule/8bc5dd8b44/renault-captur-e-tech-full-hybrid-145-21-techno-fast-track
512,RENAULT,"CLIO SOCIETE","Clio dCi 75 Energy Business",11389612,LORIENT,77615,,9500.0,sold,https://vpauto.fr/vehicule/df8f4c9144/renault-clio-dci-75-energy-business
1050,RENAULT,"CLIO V","CLIO V Clio Blue dCi 100 - 21N Business",11399256,LORIENT,130625,,,available,https://vpauto.fr/vehicule/662a9ad144/renault-clio-v-clio-blue-dci-100-21n-business
971,RENAULT,"Captur TCe","Captur TCe 90 Evolution Gris médium métal / Toit",11406188,LORIENT,56910,,12900.0,sold,https://vpauto.fr/vehicule/6a55f87244/renault-captur-tce-90-evolution
1421,RENAULT,"Clio E-Tech","Clio E-Tech full hybrid 145 Techno",11401768,LORIENT,49375,,14400.0,sold,https://vpauto.fr/vehicule/ecc5c09044/renault-clio-e-tech-full-hybrid-145-techno
603,RENAULT,"Clio TCe","Clio TCe 90 ch Generation",11406767,LORIENT,17878,,12700.0,sold,https://vpauto.fr/vehicule/98b36ab544/renault-clio-tce-90-ch-generation
863,RENAULT,"Espace 2.0","Espace 2.0 dCi - 130 25 th 7pl",11386951,LORIENT,252459,2700.0,,unsold,https://vpauto.fr/vehicule/9f0f1a3c44/renault-espace-20-dci-130-25-th-7pl
2200,RENAULT,"GRAND SCENIC","Grand Scenic TCe 160 FAP Intens",,LORIENT,0,,,available,https://vpauto.fr/vehicule/d9ce5c2044/renault-grand-scenic-tce-160-fap-intens
1739,RENAULT,"KANGOO EXPRESS","KANGOO EXPRESS KANGOO EXPRESS 1.5 DCI 75 ENERGY E6 GENERIQUE",,LORIENT,151628,,,available,https://vpauto.fr/vehicule/7354335844/renault-kangoo-express-kangoo-express-15-dci-75-energy-e6-generique
